--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       Layer (type)                                                  Input Shape                                                                                    Output Shape                                               Param #    
     SyncBatchNorm-26                                            [[1, 64, 256, 256]]                                                                              [1, 64, 256, 256]                                              256      
         ConvBN-9                                                [[1, 40, 256, 256]]                                                                              [1, 64, 256, 256]                                               0       
         ReLU-10                                                 [[1, 64, 256, 256]]                                                                              [1, 64, 256, 256]                                               0       
      HSBottleNeck-4                                             [[1, 64, 256, 256]]                                                                              [1, 64, 256, 256]                                               0       
        Conv2D-45                                                [[1, 64, 256, 256]]                                                                              [1, 40, 256, 256]                                             2,560     
     SyncBatchNorm-27                                            [[1, 40, 256, 256]]                                                                              [1, 40, 256, 256]                                              160      
      ConvBNReLU-12                                              [[1, 64, 256, 256]]                                                                              [1, 40, 256, 256]                                               0       
        Conv2D-46                                                [[1, 8, 256, 256]]                                                                               [1, 8, 256, 256]                                               64       
        Conv2D-47                                                [[1, 12, 256, 256]]                                                                              [1, 12, 256, 256]                                              144      
        Conv2D-48                                                [[1, 14, 256, 256]]                                                                              [1, 14, 256, 256]                                              196      
        Conv2D-49                                                [[1, 15, 256, 256]]                                                                              [1, 15, 256, 256]                                              225      
        HSBlock-7                                                [[1, 40, 256, 256]]                                                                              [1, 40, 256, 256]                                               0       
     SyncBatchNorm-28                                            [[1, 40, 256, 256]]                                                                              [1, 40, 256, 256]                                              160      
         ReLU-11                                                 [[1, 40, 256, 256]]                                                                              [1, 40, 256, 256]                                               0       
     HSBlockBNReLU-7                                             [[1, 40, 256, 256]]                                                                              [1, 40, 256, 256]                                               0       
        Conv2D-50                                                [[1, 40, 256, 256]]                                                                             [1, 256, 256, 256]                                            10,240     
     SyncBatchNorm-29                                           [[1, 256, 256, 256]]                                                                             [1, 256, 256, 256]                                             1,024     
        ConvBN-10                                                [[1, 40, 256, 256]]                                                                             [1, 256, 256, 256]                                               0       
        Conv2D-51                                                [[1, 64, 256, 256]]                                                                             [1, 256, 256, 256]                                            16,384     
     SyncBatchNorm-30                                           [[1, 256, 256, 256]]                                                                             [1, 256, 256, 256]                                             1,024     
        ConvBN-11                                                [[1, 64, 256, 256]]                                                                             [1, 256, 256, 256]                                               0       
HSBottleNeckWithOutReLU-3                                        [[1, 64, 256, 256]]                                                                             [1, 256, 256, 256]                                               0       
    BottleneckBlock-2                                           [[1, 256, 256, 256]]                                                                             [1, 256, 256, 256]                                               0       
         Layer1-1                                                [[1, 64, 256, 256]]                                                                             [1, 256, 256, 256]                                               0       
        Conv2D-52                                               [[1, 256, 256, 256]]                                                                              [1, 40, 256, 256]                                            10,240     
     SyncBatchNorm-31                                            [[1, 40, 256, 256]]                                                                              [1, 40, 256, 256]                                              160      
      ConvBNReLU-13                                             [[1, 256, 256, 256]]                                                                              [1, 40, 256, 256]                                               0       
        Conv2D-53                                                [[1, 8, 256, 256]]                                                                               [1, 8, 256, 256]                                               576      
        Conv2D-54                                                [[1, 12, 256, 256]]                                                                              [1, 12, 256, 256]                                             1,296     
        Conv2D-55                                                [[1, 14, 256, 256]]                                                                              [1, 14, 256, 256]                                             1,764     
        Conv2D-56                                                [[1, 15, 256, 256]]                                                                              [1, 15, 256, 256]                                             2,025     
        HSBlock-8                                                [[1, 40, 256, 256]]                                                                              [1, 40, 256, 256]                                               0       
     SyncBatchNorm-32                                            [[1, 40, 256, 256]]                                                                              [1, 40, 256, 256]                                              160      
         ReLU-12                                                 [[1, 40, 256, 256]]                                                                              [1, 40, 256, 256]                                               0       
     HSBlockBNReLU-8                                             [[1, 40, 256, 256]]                                                                              [1, 40, 256, 256]                                               0       
        Conv2D-57                                                [[1, 40, 256, 256]]                                                                              [1, 64, 256, 256]                                             2,560     
     SyncBatchNorm-33                                            [[1, 64, 256, 256]]                                                                              [1, 64, 256, 256]                                              256      
        ConvBN-12                                                [[1, 40, 256, 256]]                                                                              [1, 64, 256, 256]                                               0       
        Conv2D-58                                               [[1, 256, 256, 256]]                                                                              [1, 64, 256, 256]                                            16,384     
     SyncBatchNorm-34                                            [[1, 64, 256, 256]]                                                                              [1, 64, 256, 256]                                              256      
        ConvBN-13                                               [[1, 256, 256, 256]]                                                                              [1, 64, 256, 256]                                               0       
         ReLU-13                                                 [[1, 64, 256, 256]]                                                                              [1, 64, 256, 256]                                               0       
      HSBottleNeck-5                                            [[1, 256, 256, 256]]                                                                              [1, 64, 256, 256]                                               0       
        Conv2D-59                                               [[1, 256, 256, 256]]                                                                             [1, 128, 128, 128]                                            294,912    
     SyncBatchNorm-35                                           [[1, 128, 128, 128]]                                                                             [1, 128, 128, 128]                                              512      
      ConvBNReLU-14                                             [[1, 256, 256, 256]]                                                                             [1, 128, 128, 128]                                               0       
    TransitionLayer-1                                          [[[1, 256, 256, 256]]]                                                                  [[1, 64, 256, 256], [1, 128, 128, 128]]                                    0       
        Conv2D-60                                                [[1, 64, 256, 256]]                                                                              [1, 40, 256, 256]                                             2,560     
     SyncBatchNorm-36                                            [[1, 40, 256, 256]]                                                                              [1, 40, 256, 256]                                              160      
      ConvBNReLU-15                                              [[1, 64, 256, 256]]                                                                              [1, 40, 256, 256]                                               0       
        Conv2D-61                                                [[1, 8, 256, 256]]                                                                               [1, 8, 256, 256]                                               576      
        Conv2D-62                                                [[1, 12, 256, 256]]                                                                              [1, 12, 256, 256]                                             1,296     
        Conv2D-63                                                [[1, 14, 256, 256]]                                                                              [1, 14, 256, 256]                                             1,764     
        Conv2D-64                                                [[1, 15, 256, 256]]                                                                              [1, 15, 256, 256]                                             2,025     
        HSBlock-9                                                [[1, 40, 256, 256]]                                                                              [1, 40, 256, 256]                                               0       
     SyncBatchNorm-37                                            [[1, 40, 256, 256]]                                                                              [1, 40, 256, 256]                                              160      
         ReLU-14                                                 [[1, 40, 256, 256]]                                                                              [1, 40, 256, 256]                                               0       
     HSBlockBNReLU-9                                             [[1, 40, 256, 256]]                                                                              [1, 40, 256, 256]                                               0       
        Conv2D-65                                                [[1, 40, 256, 256]]                                                                              [1, 64, 256, 256]                                             2,560     
     SyncBatchNorm-38                                            [[1, 64, 256, 256]]                                                                              [1, 64, 256, 256]                                              256      
        ConvBN-14                                                [[1, 40, 256, 256]]                                                                              [1, 64, 256, 256]                                               0       
         ReLU-15                                                 [[1, 64, 256, 256]]                                                                              [1, 64, 256, 256]                                               0       
      HSBottleNeck-6                                             [[1, 64, 256, 256]]                                                                              [1, 64, 256, 256]                                               0       
        Conv2D-66                                                [[1, 64, 256, 256]]                                                                              [1, 40, 256, 256]                                             2,560     
     SyncBatchNorm-39                                            [[1, 40, 256, 256]]                                                                              [1, 40, 256, 256]                                              160      
      ConvBNReLU-16                                              [[1, 64, 256, 256]]                                                                              [1, 40, 256, 256]                                               0       
        Conv2D-67                                                [[1, 8, 256, 256]]                                                                               [1, 8, 256, 256]                                               576      
        Conv2D-68                                                [[1, 12, 256, 256]]                                                                              [1, 12, 256, 256]                                             1,296     
        Conv2D-69                                                [[1, 14, 256, 256]]                                                                              [1, 14, 256, 256]                                             1,764     
        Conv2D-70                                                [[1, 15, 256, 256]]                                                                              [1, 15, 256, 256]                                             2,025     
        HSBlock-10                                               [[1, 40, 256, 256]]                                                                              [1, 40, 256, 256]                                               0       
     SyncBatchNorm-40                                            [[1, 40, 256, 256]]                                                                              [1, 40, 256, 256]                                              160      
         ReLU-16                                                 [[1, 40, 256, 256]]                                                                              [1, 40, 256, 256]                                               0       
     HSBlockBNReLU-10                                            [[1, 40, 256, 256]]                                                                              [1, 40, 256, 256]                                               0       
        Conv2D-71                                                [[1, 40, 256, 256]]                                                                              [1, 64, 256, 256]                                             2,560     
     SyncBatchNorm-41                                            [[1, 64, 256, 256]]                                                                              [1, 64, 256, 256]                                              256      
        ConvBN-15                                                [[1, 40, 256, 256]]                                                                              [1, 64, 256, 256]                                               0       
HSBottleNeckWithOutReLU-4                                        [[1, 64, 256, 256]]                                                                              [1, 64, 256, 256]                                               0       
       BasicBlock-1                                              [[1, 64, 256, 256]]                                                                              [1, 64, 256, 256]                                               0       
        Conv2D-72                                                [[1, 64, 256, 256]]                                                                              [1, 40, 256, 256]                                             2,560     
     SyncBatchNorm-42                                            [[1, 40, 256, 256]]                                                                              [1, 40, 256, 256]                                              160      
      ConvBNReLU-17                                              [[1, 64, 256, 256]]                                                                              [1, 40, 256, 256]                                               0       
        Conv2D-73                                                [[1, 8, 256, 256]]                                                                               [1, 8, 256, 256]                                               576      
        Conv2D-74                                                [[1, 12, 256, 256]]                                                                              [1, 12, 256, 256]                                             1,296     
