--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       Layer (type)                                                  Input Shape                                                                                    Output Shape                                               Param #    
        HSBlock-86                                                [[1, 40, 64, 64]]                                                                                [1, 40, 64, 64]                                                0       
    SyncBatchNorm-300                                             [[1, 40, 64, 64]]                                                                                [1, 40, 64, 64]                                               160      
         ReLU-123                                                 [[1, 40, 64, 64]]                                                                                [1, 40, 64, 64]                                                0       
     HSBlockBNReLU-86                                             [[1, 40, 64, 64]]                                                                                [1, 40, 64, 64]                                                0       
        Conv2D-559                                                [[1, 40, 64, 64]]                                                                               [1, 256, 64, 64]                                             10,240     
    SyncBatchNorm-301                                            [[1, 256, 64, 64]]                                                                               [1, 256, 64, 64]                                              1,024     
        ConvBN-117                                                [[1, 40, 64, 64]]                                                                               [1, 256, 64, 64]                                                0       
         ReLU-124                                                [[1, 256, 64, 64]]                                                                               [1, 256, 64, 64]                                                0       
     HSBottleNeck-38                                             [[1, 256, 64, 64]]                                                                               [1, 256, 64, 64]                                                0       
        Conv2D-560                                               [[1, 256, 64, 64]]                                                                                [1, 40, 64, 64]                                             10,240     
    SyncBatchNorm-302                                             [[1, 40, 64, 64]]                                                                                [1, 40, 64, 64]                                               160      
      ConvBNReLU-99                                              [[1, 256, 64, 64]]                                                                                [1, 40, 64, 64]                                                0       
        Conv2D-561                                                [[1, 8, 64, 64]]                                                                                 [1, 8, 64, 64]                                                576      
        Conv2D-562                                                [[1, 12, 64, 64]]                                                                                [1, 12, 64, 64]                                              1,296     
        Conv2D-563                                                [[1, 14, 64, 64]]                                                                                [1, 14, 64, 64]                                              1,764     
        Conv2D-564                                                [[1, 15, 64, 64]]                                                                                [1, 15, 64, 64]                                              2,025     
        HSBlock-87                                                [[1, 40, 64, 64]]                                                                                [1, 40, 64, 64]                                                0       
    SyncBatchNorm-303                                             [[1, 40, 64, 64]]                                                                                [1, 40, 64, 64]                                               160      
         ReLU-125                                                 [[1, 40, 64, 64]]                                                                                [1, 40, 64, 64]                                                0       
     HSBlockBNReLU-87                                             [[1, 40, 64, 64]]                                                                                [1, 40, 64, 64]                                                0       
        Conv2D-565                                                [[1, 40, 64, 64]]                                                                               [1, 256, 64, 64]                                             10,240     
    SyncBatchNorm-304                                            [[1, 256, 64, 64]]                                                                               [1, 256, 64, 64]                                              1,024     
        ConvBN-118                                                [[1, 40, 64, 64]]                                                                               [1, 256, 64, 64]                                                0       
HSBottleNeckWithOutReLU-49                                       [[1, 256, 64, 64]]                                                                               [1, 256, 64, 64]                                                0       
      BasicBlock-33                                              [[1, 256, 64, 64]]                                                                               [1, 256, 64, 64]                                                0       
        Conv2D-566                                               [[1, 256, 64, 64]]                                                                                [1, 40, 64, 64]                                             10,240     
    SyncBatchNorm-305                                             [[1, 40, 64, 64]]                                                                                [1, 40, 64, 64]                                               160      
      ConvBNReLU-100                                             [[1, 256, 64, 64]]                                                                                [1, 40, 64, 64]                                                0       
        Conv2D-567                                                [[1, 8, 64, 64]]                                                                                 [1, 8, 64, 64]                                                576      
        Conv2D-568                                                [[1, 12, 64, 64]]                                                                                [1, 12, 64, 64]                                              1,296     
        Conv2D-569                                                [[1, 14, 64, 64]]                                                                                [1, 14, 64, 64]                                              1,764     
        Conv2D-570                                                [[1, 15, 64, 64]]                                                                                [1, 15, 64, 64]                                              2,025     
        HSBlock-88                                                [[1, 40, 64, 64]]                                                                                [1, 40, 64, 64]                                                0       
    SyncBatchNorm-306                                             [[1, 40, 64, 64]]                                                                                [1, 40, 64, 64]                                               160      
         ReLU-126                                                 [[1, 40, 64, 64]]                                                                                [1, 40, 64, 64]                                                0       
     HSBlockBNReLU-88                                             [[1, 40, 64, 64]]                                                                                [1, 40, 64, 64]                                                0       
        Conv2D-571                                                [[1, 40, 64, 64]]                                                                               [1, 256, 64, 64]                                             10,240     
    SyncBatchNorm-307                                            [[1, 256, 64, 64]]                                                                               [1, 256, 64, 64]                                              1,024     
        ConvBN-119                                                [[1, 40, 64, 64]]                                                                               [1, 256, 64, 64]                                                0       
         ReLU-127                                                [[1, 256, 64, 64]]                                                                               [1, 256, 64, 64]                                                0       
     HSBottleNeck-39                                             [[1, 256, 64, 64]]                                                                               [1, 256, 64, 64]                                                0       
        Conv2D-572                                               [[1, 256, 64, 64]]                                                                                [1, 40, 64, 64]                                             10,240     
    SyncBatchNorm-308                                             [[1, 40, 64, 64]]                                                                                [1, 40, 64, 64]                                               160      
      ConvBNReLU-101                                             [[1, 256, 64, 64]]                                                                                [1, 40, 64, 64]                                                0       
        Conv2D-573                                                [[1, 8, 64, 64]]                                                                                 [1, 8, 64, 64]                                                576      
        Conv2D-574                                                [[1, 12, 64, 64]]                                                                                [1, 12, 64, 64]                                              1,296     
        Conv2D-575                                                [[1, 14, 64, 64]]                                                                                [1, 14, 64, 64]                                              1,764     
        Conv2D-576                                                [[1, 15, 64, 64]]                                                                                [1, 15, 64, 64]                                              2,025     
        HSBlock-89                                                [[1, 40, 64, 64]]                                                                                [1, 40, 64, 64]                                                0       
    SyncBatchNorm-309                                             [[1, 40, 64, 64]]                                                                                [1, 40, 64, 64]                                               160      
         ReLU-128                                                 [[1, 40, 64, 64]]                                                                                [1, 40, 64, 64]                                                0       
     HSBlockBNReLU-89                                             [[1, 40, 64, 64]]                                                                                [1, 40, 64, 64]                                                0       
        Conv2D-577                                                [[1, 40, 64, 64]]                                                                               [1, 256, 64, 64]                                             10,240     
    SyncBatchNorm-310                                            [[1, 256, 64, 64]]                                                                               [1, 256, 64, 64]                                              1,024     
        ConvBN-120                                                [[1, 40, 64, 64]]                                                                               [1, 256, 64, 64]                                                0       
HSBottleNeckWithOutReLU-50                                       [[1, 256, 64, 64]]                                                                               [1, 256, 64, 64]                                                0       
      BasicBlock-34                                              [[1, 256, 64, 64]]                                                                               [1, 256, 64, 64]                                                0       
        Conv2D-578                                               [[1, 512, 32, 32]]                                                                                [1, 40, 32, 32]                                             20,480     
    SyncBatchNorm-311                                             [[1, 40, 32, 32]]                                                                                [1, 40, 32, 32]                                               160      
      ConvBNReLU-102                                             [[1, 512, 32, 32]]                                                                                [1, 40, 32, 32]                                                0       
        Conv2D-579                                                [[1, 8, 32, 32]]                                                                                 [1, 8, 32, 32]                                                576      
        Conv2D-580                                                [[1, 12, 32, 32]]                                                                                [1, 12, 32, 32]                                              1,296     
        Conv2D-581                                                [[1, 14, 32, 32]]                                                                                [1, 14, 32, 32]                                              1,764     
        Conv2D-582                                                [[1, 15, 32, 32]]                                                                                [1, 15, 32, 32]                                              2,025     
        HSBlock-90                                                [[1, 40, 32, 32]]                                                                                [1, 40, 32, 32]                                                0       
    SyncBatchNorm-312                                             [[1, 40, 32, 32]]                                                                                [1, 40, 32, 32]                                               160      
         ReLU-129                                                 [[1, 40, 32, 32]]                                                                                [1, 40, 32, 32]                                                0       
     HSBlockBNReLU-90                                             [[1, 40, 32, 32]]                                                                                [1, 40, 32, 32]                                                0       
        Conv2D-583                                                [[1, 40, 32, 32]]                                                                               [1, 512, 32, 32]                                             20,480     
    SyncBatchNorm-313                                            [[1, 512, 32, 32]]                                                                               [1, 512, 32, 32]                                              2,048     
        ConvBN-121                                                [[1, 40, 32, 32]]                                                                               [1, 512, 32, 32]                                                0       
         ReLU-130                                                [[1, 512, 32, 32]]                                                                               [1, 512, 32, 32]                                                0       
     HSBottleNeck-40                                             [[1, 512, 32, 32]]                                                                               [1, 512, 32, 32]                                                0       
        Conv2D-584                                               [[1, 512, 32, 32]]                                                                                [1, 40, 32, 32]                                             20,480     
    SyncBatchNorm-314                                             [[1, 40, 32, 32]]                                                                                [1, 40, 32, 32]                                               160      
      ConvBNReLU-103                                             [[1, 512, 32, 32]]                                                                                [1, 40, 32, 32]                                                0       
        Conv2D-585                                                [[1, 8, 32, 32]]                                                                                 [1, 8, 32, 32]                                                576      
        Conv2D-586                                                [[1, 12, 32, 32]]                                                                                [1, 12, 32, 32]                                              1,296     
        Conv2D-587                                                [[1, 14, 32, 32]]                                                                                [1, 14, 32, 32]                                              1,764     
        Conv2D-588                                                [[1, 15, 32, 32]]                                                                                [1, 15, 32, 32]                                              2,025     
        HSBlock-91                                                [[1, 40, 32, 32]]                                                                                [1, 40, 32, 32]                                                0       
    SyncBatchNorm-315                                             [[1, 40, 32, 32]]                                                                                [1, 40, 32, 32]                                               160      
         ReLU-131                                                 [[1, 40, 32, 32]]                                                                                [1, 40, 32, 32]                                                0       
     HSBlockBNReLU-91                                             [[1, 40, 32, 32]]                                                                                [1, 40, 32, 32]                                                0       
        Conv2D-589                                                [[1, 40, 32, 32]]                                                                               [1, 512, 32, 32]                                             20,480     
    SyncBatchNorm-316                                            [[1, 512, 32, 32]]                                                                               [1, 512, 32, 32]                                              2,048     
        ConvBN-122                                                [[1, 40, 32, 32]]                                                                               [1, 512, 32, 32]                                                0       
HSBottleNeckWithOutReLU-51                                       [[1, 512, 32, 32]]                                                                               [1, 512, 32, 32]                                                0       
      BasicBlock-35                                              [[1, 512, 32, 32]]                                                                               [1, 512, 32, 32]                                                0       
        Conv2D-590                                               [[1, 512, 32, 32]]                                                                                [1, 40, 32, 32]                                             20,480     
    SyncBatchNorm-317                                             [[1, 40, 32, 32]]                                                                                [1, 40, 32, 32]                                               160      
      ConvBNReLU-104                                             [[1, 512, 32, 32]]                                                                                [1, 40, 32, 32]                                                0       
        Conv2D-591                                                [[1, 8, 32, 32]]                                                                                 [1, 8, 32, 32]                                                576      
        Conv2D-592                                                [[1, 12, 32, 32]]                                                                                [1, 12, 32, 32]                                              1,296     
        Conv2D-593                                                [[1, 14, 32, 32]]                                                                                [1, 14, 32, 32]                                              1,764     
        Conv2D-594                                                [[1, 15, 32, 32]]                                                                                [1, 15, 32, 32]                                              2,025     
        HSBlock-92                                                [[1, 40, 32, 32]]                                                                                [1, 40, 32, 32]                                                0       
    SyncBatchNorm-318                                             [[1, 40, 32, 32]]                                                                                [1, 40, 32, 32]                                               160      
         ReLU-132                                                 [[1, 40, 32, 32]]                                                                                [1, 40, 32, 32]                                                0       
     HSBlockBNReLU-92                                             [[1, 40, 32, 32]]                                                                                [1, 40, 32, 32]                                                0       
        Conv2D-595                                                [[1, 40, 32, 32]]                                                                               [1, 512, 32, 32]                                             20,480     
    SyncBatchNorm-319                                            [[1, 512, 32, 32]]                                                                               [1, 512, 32, 32]                                              2,048     
        ConvBN-123                                                [[1, 40, 32, 32]]                                                                               [1, 512, 32, 32]                                                0       
         ReLU-133                                                [[1, 512, 32, 32]]                                                                               [1, 512, 32, 32]                                                0       
     HSBottleNeck-41                                             [[1, 512, 32, 32]]                                                                               [1, 512, 32, 32]                                                0       
        Conv2D-596                                               [[1, 512, 32, 32]]                                                                                [1, 40, 32, 32]                                             20,480     
    SyncBatchNorm-320                                             [[1, 40, 32, 32]]                                                                                [1, 40, 32, 32]                                               160      
      ConvBNReLU-105                                             [[1, 512, 32, 32]]                                                                                [1, 40, 32, 32]                                                0       
        Conv2D-597                                                [[1, 8, 32, 32]]                                                                                 [1, 8, 32, 32]                                                576      
        Conv2D-598                                                [[1, 12, 32, 32]]                                                                                [1, 12, 32, 32]                                              1,296     
        Conv2D-599                                                [[1, 14, 32, 32]]                                                                                [1, 14, 32, 32]                                              1,764     
        Conv2D-600                                                [[1, 15, 32, 32]]                                                                                [1, 15, 32, 32]                                              2,025     
        HSBlock-93                                                [[1, 40, 32, 32]]                                                                                [1, 40, 32, 32]                                                0       
    SyncBatchNorm-321                                             [[1, 40, 32, 32]]                                                                                [1, 40, 32, 32]                                               160      
         ReLU-134                                                 [[1, 40, 32, 32]]                                                                                [1, 40, 32, 32]                                                0       
     HSBlockBNReLU-93                                             [[1, 40, 32, 32]]                                                                                [1, 40, 32, 32]                                                0       
        Conv2D-601                                                [[1, 40, 32, 32]]                                                                               [1, 512, 32, 32]                                             20,480     
    SyncBatchNorm-322                                            [[1, 512, 32, 32]]                                                                               [1, 512, 32, 32]                                              2,048     
        ConvBN-124                                                [[1, 40, 32, 32]]                                                                               [1, 512, 32, 32]                                                0       
HSBottleNeckWithOutReLU-52                                       [[1, 512, 32, 32]]                                                                               [1, 512, 32, 32]                                                0       
      BasicBlock-36                                              [[1, 512, 32, 32]]                                                                               [1, 512, 32, 32]                                                0       
        Branches-6                  [[[1, 64, 256, 256], [1, 128, 128, 128], [1, 256, 64, 64], [1, 512, 32, 32]]]                    [[1, 64, 256, 256], [1, 128, 128, 128], [1, 256, 64, 64], [1, 512, 32, 32]]                  0       
        Conv2D-602                                              [[1, 128, 128, 128]]                                                                              [1, 40, 128, 128]                                             5,120     
    SyncBatchNorm-323                                            [[1, 40, 128, 128]]                                                                              [1, 40, 128, 128]                                              160      
      ConvBNReLU-106                                            [[1, 128, 128, 128]]                                                                              [1, 40, 128, 128]                                               0       
        Conv2D-603                                               [[1, 8, 128, 128]]                                                                               [1, 8, 128, 128]                                               64       
        Conv2D-604                                               [[1, 12, 128, 128]]                                                                              [1, 12, 128, 128]                                              144      
        Conv2D-605                                               [[1, 14, 128, 128]]                                                                              [1, 14, 128, 128]                                              196      
        Conv2D-606                                               [[1, 15, 128, 128]]                                                                              [1, 15, 128, 128]                                              225      
        HSBlock-94                                               [[1, 40, 128, 128]]                                                                              [1, 40, 128, 128]                                               0       
    SyncBatchNorm-324                                            [[1, 40, 128, 128]]                                                                              [1, 40, 128, 128]                                              160      
         ReLU-135                                                [[1, 40, 128, 128]]                                                                              [1, 40, 128, 128]                                               0       
     HSBlockBNReLU-94                                            [[1, 40, 128, 128]]                                                                              [1, 40, 128, 128]                                               0       
        Conv2D-607                                               [[1, 40, 128, 128]]                                                                              [1, 64, 128, 128]                                             2,560     
    SyncBatchNorm-325                                            [[1, 64, 128, 128]]                                                                              [1, 64, 128, 128]                                              256      
        ConvBN-125                                               [[1, 40, 128, 128]]                                                                              [1, 64, 128, 128]                                               0       
        Conv2D-608                                              [[1, 128, 128, 128]]                                                                              [1, 64, 128, 128]                                             8,192     
    SyncBatchNorm-326                                            [[1, 64, 128, 128]]                                                                              [1, 64, 128, 128]                                              256      
        ConvBN-126                                              [[1, 128, 128, 128]]                                                                              [1, 64, 128, 128]                                               0       
HSBottleNeckWithOutReLU-53                                      [[1, 128, 128, 128]]                                                                              [1, 64, 128, 128]                                               0       
        Conv2D-609                                               [[1, 256, 64, 64]]                                                                                [1, 40, 64, 64]                                             10,240     
    SyncBatchNorm-327                                             [[1, 40, 64, 64]]                                                                                [1, 40, 64, 64]                                               160      
      ConvBNReLU-107                                             [[1, 256, 64, 64]]                                                                                [1, 40, 64, 64]                                                0       
        Conv2D-610                                                [[1, 8, 64, 64]]                                                                                 [1, 8, 64, 64]                                                64       
        Conv2D-611                                                [[1, 12, 64, 64]]                                                                                [1, 12, 64, 64]                                               144      
        Conv2D-612                                                [[1, 14, 64, 64]]                                                                                [1, 14, 64, 64]                                               196      
        Conv2D-613                                                [[1, 15, 64, 64]]                                                                                [1, 15, 64, 64]                                               225      
        HSBlock-95                                                [[1, 40, 64, 64]]                                                                                [1, 40, 64, 64]                                                0       
    SyncBatchNorm-328                                             [[1, 40, 64, 64]]                                                                                [1, 40, 64, 64]                                               160      
         ReLU-136                                                 [[1, 40, 64, 64]]                                                                                [1, 40, 64, 64]                                                0       
     HSBlockBNReLU-95                                             [[1, 40, 64, 64]]                                                                                [1, 40, 64, 64]                                                0       
        Conv2D-614                                                [[1, 40, 64, 64]]                                                                                [1, 64, 64, 64]                                              2,560     
    SyncBatchNorm-329                                             [[1, 64, 64, 64]]                                                                                [1, 64, 64, 64]                                               256      
        ConvBN-127                                                [[1, 40, 64, 64]]                                                                                [1, 64, 64, 64]                                                0       
        Conv2D-615                                               [[1, 256, 64, 64]]                                                                                [1, 64, 64, 64]                                             16,384     
    SyncBatchNorm-330                                             [[1, 64, 64, 64]]                                                                                [1, 64, 64, 64]                                               256      
        ConvBN-128                                               [[1, 256, 64, 64]]                                                                                [1, 64, 64, 64]                                                0       
HSBottleNeckWithOutReLU-54                                       [[1, 256, 64, 64]]                                                                                [1, 64, 64, 64]                                                0       
        Conv2D-616                                               [[1, 512, 32, 32]]                                                                                [1, 40, 32, 32]                                             20,480     
    SyncBatchNorm-331                                             [[1, 40, 32, 32]]                                                                                [1, 40, 32, 32]                                               160      
      ConvBNReLU-108                                             [[1, 512, 32, 32]]                                                                                [1, 40, 32, 32]                                                0       
        Conv2D-617                                                [[1, 8, 32, 32]]                                                                                 [1, 8, 32, 32]                                                64       
        Conv2D-618                                                [[1, 12, 32, 32]]                                                                                [1, 12, 32, 32]                                               144      
        Conv2D-619                                                [[1, 14, 32, 32]]                                                                                [1, 14, 32, 32]                                               196      
        Conv2D-620                                                [[1, 15, 32, 32]]                                                                                [1, 15, 32, 32]                                               225      
        HSBlock-96                                                [[1, 40, 32, 32]]                                                                                [1, 40, 32, 32]                                                0       
    SyncBatchNorm-332                                             [[1, 40, 32, 32]]                                                                                [1, 40, 32, 32]                                               160      
         ReLU-137                                                 [[1, 40, 32, 32]]                                                                                [1, 40, 32, 32]                                                0       
     HSBlockBNReLU-96                                             [[1, 40, 32, 32]]                                                                                [1, 40, 32, 32]                                                0       
        Conv2D-621                                                [[1, 40, 32, 32]]                                                                                [1, 64, 32, 32]                                              2,560     
    SyncBatchNorm-333                                             [[1, 64, 32, 32]]                                                                                [1, 64, 32, 32]                                               256      
        ConvBN-129                                                [[1, 40, 32, 32]]                                                                                [1, 64, 32, 32]                                                0       
        Conv2D-622                                               [[1, 512, 32, 32]]                                                                                [1, 64, 32, 32]                                             32,768     
    SyncBatchNorm-334                                             [[1, 64, 32, 32]]                                                                                [1, 64, 32, 32]                                               256      
        ConvBN-130                                               [[1, 512, 32, 32]]                                                                                [1, 64, 32, 32]                                                0       
HSBottleNeckWithOutReLU-55                                       [[1, 512, 32, 32]]                                                                                [1, 64, 32, 32]                                                0       
        Conv2D-623                                               [[1, 64, 256, 256]]                                                                             [1, 128, 128, 128]                                            73,728     
    SyncBatchNorm-335                                           [[1, 128, 128, 128]]                                                                             [1, 128, 128, 128]                                              512      
        ConvBN-131                                               [[1, 64, 256, 256]]                                                                             [1, 128, 128, 128]                                               0       
        Conv2D-624                                               [[1, 256, 64, 64]]                                                                                [1, 40, 64, 64]                                             10,240     
    SyncBatchNorm-336                                             [[1, 40, 64, 64]]                                                                                [1, 40, 64, 64]                                               160      
      ConvBNReLU-109                                             [[1, 256, 64, 64]]                                                                                [1, 40, 64, 64]                                                0       
        Conv2D-625                                                [[1, 8, 64, 64]]                                                                                 [1, 8, 64, 64]                                                64       
        Conv2D-626                                                [[1, 12, 64, 64]]                                                                                [1, 12, 64, 64]                                               144      
        Conv2D-627                                                [[1, 14, 64, 64]]                                                                                [1, 14, 64, 64]                                               196      
        Conv2D-628                                                [[1, 15, 64, 64]]                                                                                [1, 15, 64, 64]                                               225      
        HSBlock-97                                                [[1, 40, 64, 64]]                                                                                [1, 40, 64, 64]                                                0       
    SyncBatchNorm-337                                             [[1, 40, 64, 64]]                                                                                [1, 40, 64, 64]                                               160      
         ReLU-138                                                 [[1, 40, 64, 64]]                                                                                [1, 40, 64, 64]                                                0       
     HSBlockBNReLU-97                                             [[1, 40, 64, 64]]                                                                                [1, 40, 64, 64]                                                0       
        Conv2D-629                                                [[1, 40, 64, 64]]                                                                               [1, 128, 64, 64]                                              5,120     
    SyncBatchNorm-338                                            [[1, 128, 64, 64]]                                                                               [1, 128, 64, 64]                                               512      
