----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  Layer (type)                                             Input Shape                                                                                    Output Shape                                               Param #    
   Conv2D-36                                            [[1, 12, 64, 64]]                                                                                [1, 12, 64, 64]                                              1,308     
   Conv2D-37                                            [[1, 14, 64, 64]]                                                                                [1, 14, 64, 64]                                              1,778     
   Conv2D-38                                            [[1, 15, 64, 64]]                                                                                [1, 15, 64, 64]                                              2,040     
   HSBlock-6                                            [[1, 40, 64, 64]]                                                                                [1, 40, 64, 64]                                                0       
SyncBatchNorm-20                                        [[1, 40, 64, 64]]                                                                                [1, 40, 64, 64]                                               160      
HSBlockBNReLU-6                                         [[1, 40, 64, 64]]                                                                                [1, 40, 64, 64]                                                0       
   Conv2D-39                                            [[1, 40, 64, 64]]                                                                               [1, 256, 64, 64]                                             10,496     
SyncBatchNorm-21                                       [[1, 256, 64, 64]]                                                                               [1, 256, 64, 64]                                              1,024     
    ConvBN-9                                            [[1, 40, 64, 64]]                                                                               [1, 256, 64, 64]                                                0       
 HSBottleNeck-6                                        [[1, 256, 64, 64]]                                                                               [1, 256, 64, 64]                                                0       
  MaxPool2D-3                                          [[1, 256, 64, 64]]                                                                               [1, 256, 32, 32]                                                0       
   Conv2D-40                                           [[1, 256, 32, 32]]                                                                                [1, 40, 32, 32]                                             10,280     
SyncBatchNorm-22                                        [[1, 40, 32, 32]]                                                                                [1, 40, 32, 32]                                               160      
  ConvBNReLU-7                                         [[1, 256, 32, 32]]                                                                                [1, 40, 32, 32]                                                0       
   Conv2D-41                                            [[1, 8, 32, 32]]                                                                                 [1, 8, 32, 32]                                                584      
   Conv2D-42                                            [[1, 12, 32, 32]]                                                                                [1, 12, 32, 32]                                              1,308     
   Conv2D-43                                            [[1, 14, 32, 32]]                                                                                [1, 14, 32, 32]                                              1,778     
   Conv2D-44                                            [[1, 15, 32, 32]]                                                                                [1, 15, 32, 32]                                              2,040     
   HSBlock-7                                            [[1, 40, 32, 32]]                                                                                [1, 40, 32, 32]                                                0       
SyncBatchNorm-23                                        [[1, 40, 32, 32]]                                                                                [1, 40, 32, 32]                                               160      
HSBlockBNReLU-7                                         [[1, 40, 32, 32]]                                                                                [1, 40, 32, 32]                                                0       
   Conv2D-45                                            [[1, 40, 32, 32]]                                                                               [1, 512, 32, 32]                                             20,992     
SyncBatchNorm-24                                       [[1, 512, 32, 32]]                                                                               [1, 512, 32, 32]                                              2,048     
   ConvBN-10                                            [[1, 40, 32, 32]]                                                                               [1, 512, 32, 32]                                                0       
   Conv2D-46                                           [[1, 256, 32, 32]]                                                                               [1, 512, 32, 32]                                             131,584    
SyncBatchNorm-25                                       [[1, 512, 32, 32]]                                                                               [1, 512, 32, 32]                                              2,048     
   ConvBN-11                                           [[1, 256, 32, 32]]                                                                               [1, 512, 32, 32]                                                0       
 HSBottleNeck-7                                        [[1, 256, 32, 32]]                                                                               [1, 512, 32, 32]                                                0       
   Conv2D-47                                           [[1, 512, 32, 32]]                                                                                [1, 40, 32, 32]                                             20,520     
SyncBatchNorm-26                                        [[1, 40, 32, 32]]                                                                                [1, 40, 32, 32]                                               160      
  ConvBNReLU-8                                         [[1, 512, 32, 32]]                                                                                [1, 40, 32, 32]                                                0       
   Conv2D-48                                            [[1, 8, 32, 32]]                                                                                 [1, 8, 32, 32]                                                584      
   Conv2D-49                                            [[1, 12, 32, 32]]                                                                                [1, 12, 32, 32]                                              1,308     
   Conv2D-50                                            [[1, 14, 32, 32]]                                                                                [1, 14, 32, 32]                                              1,778     
   Conv2D-51                                            [[1, 15, 32, 32]]                                                                                [1, 15, 32, 32]                                              2,040     
   HSBlock-8                                            [[1, 40, 32, 32]]                                                                                [1, 40, 32, 32]                                                0       
SyncBatchNorm-27                                        [[1, 40, 32, 32]]                                                                                [1, 40, 32, 32]                                               160      
HSBlockBNReLU-8                                         [[1, 40, 32, 32]]                                                                                [1, 40, 32, 32]                                                0       
   Conv2D-52                                            [[1, 40, 32, 32]]                                                                               [1, 512, 32, 32]                                             20,992     
SyncBatchNorm-28                                       [[1, 512, 32, 32]]                                                                               [1, 512, 32, 32]                                              2,048     
   ConvBN-12                                            [[1, 40, 32, 32]]                                                                               [1, 512, 32, 32]                                                0       
 HSBottleNeck-8                                        [[1, 512, 32, 32]]                                                                               [1, 512, 32, 32]                                                0       
  MaxPool2D-4                                          [[1, 512, 32, 32]]                                                                               [1, 512, 16, 16]                                                0       
   Conv2D-53                                           [[1, 512, 16, 16]]                                                                                [1, 40, 16, 16]                                             20,520     
SyncBatchNorm-29                                        [[1, 40, 16, 16]]                                                                                [1, 40, 16, 16]                                               160      
  ConvBNReLU-9                                         [[1, 512, 16, 16]]                                                                                [1, 40, 16, 16]                                                0       
   Conv2D-54                                            [[1, 8, 16, 16]]                                                                                 [1, 8, 16, 16]                                                584      
