----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
     Layer (type)                                                Input Shape                                                                                    Output Shape                                               Param #    
      Conv2D-170                                             [[1, 64, 256, 256]]                                                                              [1, 64, 256, 256]                                            36,864     
  SyncBatchNorm-170                                          [[1, 64, 256, 256]]                                                                              [1, 64, 256, 256]                                              256      
      ConvBN-90                                              [[1, 64, 256, 256]]                                                                              [1, 64, 256, 256]                                               0       
    BasicBlock-59                                            [[1, 64, 256, 256]]                                                                              [1, 64, 256, 256]                                               0       
      Conv2D-171                                             [[1, 64, 256, 256]]                                                                              [1, 64, 256, 256]                                            36,864     
  SyncBatchNorm-171                                          [[1, 64, 256, 256]]                                                                              [1, 64, 256, 256]                                              256      
    ConvBNReLU-81                                            [[1, 64, 256, 256]]                                                                              [1, 64, 256, 256]                                               0       
      Conv2D-172                                             [[1, 64, 256, 256]]                                                                              [1, 64, 256, 256]                                            36,864     
  SyncBatchNorm-172                                          [[1, 64, 256, 256]]                                                                              [1, 64, 256, 256]                                              256      
      ConvBN-91                                              [[1, 64, 256, 256]]                                                                              [1, 64, 256, 256]                                               0       
    BasicBlock-60                                            [[1, 64, 256, 256]]                                                                              [1, 64, 256, 256]                                               0       
      Conv2D-173                                            [[1, 128, 128, 128]]                                                                             [1, 128, 128, 128]                                            147,456    
  SyncBatchNorm-173                                         [[1, 128, 128, 128]]                                                                             [1, 128, 128, 128]                                              512      
    ConvBNReLU-82                                           [[1, 128, 128, 128]]                                                                             [1, 128, 128, 128]                                               0       
      Conv2D-174                                            [[1, 128, 128, 128]]                                                                             [1, 128, 128, 128]                                            147,456    
  SyncBatchNorm-174                                         [[1, 128, 128, 128]]                                                                             [1, 128, 128, 128]                                              512      
      ConvBN-92                                             [[1, 128, 128, 128]]                                                                             [1, 128, 128, 128]                                               0       
    BasicBlock-61                                           [[1, 128, 128, 128]]                                                                             [1, 128, 128, 128]                                               0       
      Conv2D-175                                            [[1, 128, 128, 128]]                                                                             [1, 128, 128, 128]                                            147,456    
  SyncBatchNorm-175                                         [[1, 128, 128, 128]]                                                                             [1, 128, 128, 128]                                              512      
    ConvBNReLU-83                                           [[1, 128, 128, 128]]                                                                             [1, 128, 128, 128]                                               0       
      Conv2D-176                                            [[1, 128, 128, 128]]                                                                             [1, 128, 128, 128]                                            147,456    
  SyncBatchNorm-176                                         [[1, 128, 128, 128]]                                                                             [1, 128, 128, 128]                                              512      
      ConvBN-93                                             [[1, 128, 128, 128]]                                                                             [1, 128, 128, 128]                                               0       
    BasicBlock-62                                           [[1, 128, 128, 128]]                                                                             [1, 128, 128, 128]                                               0       
      Conv2D-177                                            [[1, 128, 128, 128]]                                                                             [1, 128, 128, 128]                                            147,456    
  SyncBatchNorm-177                                         [[1, 128, 128, 128]]                                                                             [1, 128, 128, 128]                                              512      
    ConvBNReLU-84                                           [[1, 128, 128, 128]]                                                                             [1, 128, 128, 128]                                               0       
      Conv2D-178                                            [[1, 128, 128, 128]]                                                                             [1, 128, 128, 128]                                            147,456    
  SyncBatchNorm-178                                         [[1, 128, 128, 128]]                                                                             [1, 128, 128, 128]                                              512      
      ConvBN-94                                             [[1, 128, 128, 128]]                                                                             [1, 128, 128, 128]                                               0       
    BasicBlock-63                                           [[1, 128, 128, 128]]                                                                             [1, 128, 128, 128]                                               0       
      Conv2D-179                                            [[1, 128, 128, 128]]                                                                             [1, 128, 128, 128]                                            147,456    
  SyncBatchNorm-179                                         [[1, 128, 128, 128]]                                                                             [1, 128, 128, 128]                                              512      
    ConvBNReLU-85                                           [[1, 128, 128, 128]]                                                                             [1, 128, 128, 128]                                               0       
      Conv2D-180                                            [[1, 128, 128, 128]]                                                                             [1, 128, 128, 128]                                            147,456    
  SyncBatchNorm-180                                         [[1, 128, 128, 128]]                                                                             [1, 128, 128, 128]                                              512      
      ConvBN-95                                             [[1, 128, 128, 128]]                                                                             [1, 128, 128, 128]                                               0       
    BasicBlock-64                                           [[1, 128, 128, 128]]                                                                             [1, 128, 128, 128]                                               0       
      Conv2D-181                                             [[1, 256, 64, 64]]                                                                               [1, 256, 64, 64]                                             589,824    
  SyncBatchNorm-181                                          [[1, 256, 64, 64]]                                                                               [1, 256, 64, 64]                                              1,024     
    ConvBNReLU-86                                            [[1, 256, 64, 64]]                                                                               [1, 256, 64, 64]                                                0       
      Conv2D-182                                             [[1, 256, 64, 64]]                                                                               [1, 256, 64, 64]                                             589,824    
  SyncBatchNorm-182                                          [[1, 256, 64, 64]]                                                                               [1, 256, 64, 64]                                              1,024     
      ConvBN-96                                              [[1, 256, 64, 64]]                                                                               [1, 256, 64, 64]                                                0       
    BasicBlock-65                                            [[1, 256, 64, 64]]                                                                               [1, 256, 64, 64]                                                0       
      Conv2D-183                                             [[1, 256, 64, 64]]                                                                               [1, 256, 64, 64]                                             589,824    
  SyncBatchNorm-183                                          [[1, 256, 64, 64]]                                                                               [1, 256, 64, 64]                                              1,024     
    ConvBNReLU-87                                            [[1, 256, 64, 64]]                                                                               [1, 256, 64, 64]                                                0       
      Conv2D-184                                             [[1, 256, 64, 64]]                                                                               [1, 256, 64, 64]                                             589,824    
  SyncBatchNorm-184                                          [[1, 256, 64, 64]]                                                                               [1, 256, 64, 64]                                              1,024     
      ConvBN-97                                              [[1, 256, 64, 64]]                                                                               [1, 256, 64, 64]                                                0       
    BasicBlock-66                                            [[1, 256, 64, 64]]                                                                               [1, 256, 64, 64]                                                0       
      Conv2D-185                                             [[1, 256, 64, 64]]                                                                               [1, 256, 64, 64]                                             589,824    
  SyncBatchNorm-185                                          [[1, 256, 64, 64]]                                                                               [1, 256, 64, 64]                                              1,024     
    ConvBNReLU-88                                            [[1, 256, 64, 64]]                                                                               [1, 256, 64, 64]                                                0       
      Conv2D-186                                             [[1, 256, 64, 64]]                                                                               [1, 256, 64, 64]                                             589,824    
  SyncBatchNorm-186                                          [[1, 256, 64, 64]]                                                                               [1, 256, 64, 64]                                              1,024     
      ConvBN-98                                              [[1, 256, 64, 64]]                                                                               [1, 256, 64, 64]                                                0       
    BasicBlock-67                                            [[1, 256, 64, 64]]                                                                               [1, 256, 64, 64]                                                0       
      Conv2D-187                                             [[1, 256, 64, 64]]                                                                               [1, 256, 64, 64]                                             589,824    
  SyncBatchNorm-187                                          [[1, 256, 64, 64]]                                                                               [1, 256, 64, 64]                                              1,024     
    ConvBNReLU-89                                            [[1, 256, 64, 64]]                                                                               [1, 256, 64, 64]                                                0       
      Conv2D-188                                             [[1, 256, 64, 64]]                                                                               [1, 256, 64, 64]                                             589,824    
  SyncBatchNorm-188                                          [[1, 256, 64, 64]]                                                                               [1, 256, 64, 64]                                              1,024     
      ConvBN-99                                              [[1, 256, 64, 64]]                                                                               [1, 256, 64, 64]                                                0       
    BasicBlock-68                                            [[1, 256, 64, 64]]                                                                               [1, 256, 64, 64]                                                0       
      Conv2D-189                                             [[1, 512, 32, 32]]                                                                               [1, 512, 32, 32]                                            2,359,296   
  SyncBatchNorm-189                                          [[1, 512, 32, 32]]                                                                               [1, 512, 32, 32]                                              2,048     
    ConvBNReLU-90                                            [[1, 512, 32, 32]]                                                                               [1, 512, 32, 32]                                                0       
      Conv2D-190                                             [[1, 512, 32, 32]]                                                                               [1, 512, 32, 32]                                            2,359,296   
  SyncBatchNorm-190                                          [[1, 512, 32, 32]]                                                                               [1, 512, 32, 32]                                              2,048     
      ConvBN-100                                             [[1, 512, 32, 32]]                                                                               [1, 512, 32, 32]                                                0       
    BasicBlock-69                                            [[1, 512, 32, 32]]                                                                               [1, 512, 32, 32]                                                0       
      Conv2D-191                                             [[1, 512, 32, 32]]                                                                               [1, 512, 32, 32]                                            2,359,296   
  SyncBatchNorm-191                                          [[1, 512, 32, 32]]                                                                               [1, 512, 32, 32]                                              2,048     
    ConvBNReLU-91                                            [[1, 512, 32, 32]]                                                                               [1, 512, 32, 32]                                                0       
      Conv2D-192                                             [[1, 512, 32, 32]]                                                                               [1, 512, 32, 32]                                            2,359,296   
  SyncBatchNorm-192                                          [[1, 512, 32, 32]]                                                                               [1, 512, 32, 32]                                              2,048     
      ConvBN-101                                             [[1, 512, 32, 32]]                                                                               [1, 512, 32, 32]                                                0       
    BasicBlock-70                                            [[1, 512, 32, 32]]                                                                               [1, 512, 32, 32]                                                0       
      Conv2D-193                                             [[1, 512, 32, 32]]                                                                               [1, 512, 32, 32]                                            2,359,296   
  SyncBatchNorm-193                                          [[1, 512, 32, 32]]                                                                               [1, 512, 32, 32]                                              2,048     
    ConvBNReLU-92                                            [[1, 512, 32, 32]]                                                                               [1, 512, 32, 32]                                                0       
      Conv2D-194                                             [[1, 512, 32, 32]]                                                                               [1, 512, 32, 32]                                            2,359,296   
  SyncBatchNorm-194                                          [[1, 512, 32, 32]]                                                                               [1, 512, 32, 32]                                              2,048     
      ConvBN-102                                             [[1, 512, 32, 32]]                                                                               [1, 512, 32, 32]                                                0       
    BasicBlock-71                                            [[1, 512, 32, 32]]                                                                               [1, 512, 32, 32]                                                0       
      Conv2D-195                                             [[1, 512, 32, 32]]                                                                               [1, 512, 32, 32]                                            2,359,296   
  SyncBatchNorm-195                                          [[1, 512, 32, 32]]                                                                               [1, 512, 32, 32]                                              2,048     
    ConvBNReLU-93                                            [[1, 512, 32, 32]]                                                                               [1, 512, 32, 32]                                                0       
      Conv2D-196                                             [[1, 512, 32, 32]]                                                                               [1, 512, 32, 32]                                            2,359,296   
  SyncBatchNorm-196                                          [[1, 512, 32, 32]]                                                                               [1, 512, 32, 32]                                              2,048     
      ConvBN-103                                             [[1, 512, 32, 32]]                                                                               [1, 512, 32, 32]                                                0       
    BasicBlock-72                                            [[1, 512, 32, 32]]                                                                               [1, 512, 32, 32]                                                0       
      Branches-6                [[[1, 64, 256, 256], [1, 128, 128, 128], [1, 256, 64, 64], [1, 512, 32, 32]]]                    [[1, 64, 256, 256], [1, 128, 128, 128], [1, 256, 64, 64], [1, 512, 32, 32]]                  0       
      Conv2D-197                                            [[1, 128, 128, 128]]                                                                              [1, 64, 128, 128]                                             8,192     
  SyncBatchNorm-197                                          [[1, 64, 128, 128]]                                                                              [1, 64, 128, 128]                                              256      
      ConvBN-104                                            [[1, 128, 128, 128]]                                                                              [1, 64, 128, 128]                                               0       
      Conv2D-198                                             [[1, 256, 64, 64]]                                                                                [1, 64, 64, 64]                                             16,384     
  SyncBatchNorm-198                                           [[1, 64, 64, 64]]                                                                                [1, 64, 64, 64]                                               256      
      ConvBN-105                                             [[1, 256, 64, 64]]                                                                                [1, 64, 64, 64]                                                0       
      Conv2D-199                                             [[1, 512, 32, 32]]                                                                                [1, 64, 32, 32]                                             32,768     
  SyncBatchNorm-199                                           [[1, 64, 32, 32]]                                                                                [1, 64, 32, 32]                                               256      
      ConvBN-106                                             [[1, 512, 32, 32]]                                                                                [1, 64, 32, 32]                                                0       
      Conv2D-200                                             [[1, 64, 256, 256]]                                                                             [1, 128, 128, 128]                                            73,728     
  SyncBatchNorm-200                                         [[1, 128, 128, 128]]                                                                             [1, 128, 128, 128]                                              512      
      ConvBN-107                                             [[1, 64, 256, 256]]                                                                             [1, 128, 128, 128]                                               0       
      Conv2D-201                                             [[1, 256, 64, 64]]                                                                               [1, 128, 64, 64]                                             32,768     
  SyncBatchNorm-201                                          [[1, 128, 64, 64]]                                                                               [1, 128, 64, 64]                                               512      
      ConvBN-108                                             [[1, 256, 64, 64]]                                                                               [1, 128, 64, 64]                                                0       
      Conv2D-202                                             [[1, 512, 32, 32]]                                                                               [1, 128, 32, 32]                                             65,536     
  SyncBatchNorm-202                                          [[1, 128, 32, 32]]                                                                               [1, 128, 32, 32]                                               512      
      ConvBN-109                                             [[1, 512, 32, 32]]                                                                               [1, 128, 32, 32]                                                0       
      Conv2D-203                                             [[1, 64, 256, 256]]                                                                              [1, 64, 128, 128]                                            36,864     
  SyncBatchNorm-203                                          [[1, 64, 128, 128]]                                                                              [1, 64, 128, 128]                                              256      
    ConvBNReLU-94                                            [[1, 64, 256, 256]]                                                                              [1, 64, 128, 128]                                               0       
      Conv2D-204                                             [[1, 64, 128, 128]]                                                                              [1, 256, 64, 64]                                             147,456    
  SyncBatchNorm-204                                          [[1, 256, 64, 64]]                                                                               [1, 256, 64, 64]                                              1,024     
      ConvBN-110                                             [[1, 64, 128, 128]]                                                                              [1, 256, 64, 64]                                                0       
      Conv2D-205                                            [[1, 128, 128, 128]]                                                                              [1, 256, 64, 64]                                             294,912    
  SyncBatchNorm-205                                          [[1, 256, 64, 64]]                                                                               [1, 256, 64, 64]                                              1,024     
      ConvBN-111                                            [[1, 128, 128, 128]]                                                                              [1, 256, 64, 64]                                                0       
      Conv2D-206                                             [[1, 512, 32, 32]]                                                                               [1, 256, 32, 32]                                             131,072    
  SyncBatchNorm-206                                          [[1, 256, 32, 32]]                                                                               [1, 256, 32, 32]                                              1,024     
      ConvBN-112                                             [[1, 512, 32, 32]]                                                                               [1, 256, 32, 32]                                                0       
      Conv2D-207                                             [[1, 64, 256, 256]]                                                                              [1, 64, 128, 128]                                            36,864     
  SyncBatchNorm-207                                          [[1, 64, 128, 128]]                                                                              [1, 64, 128, 128]                                              256      
    ConvBNReLU-95                                            [[1, 64, 256, 256]]                                                                              [1, 64, 128, 128]                                               0       
      Conv2D-208                                             [[1, 64, 128, 128]]                                                                               [1, 64, 64, 64]                                             36,864     
  SyncBatchNorm-208                                           [[1, 64, 64, 64]]                                                                                [1, 64, 64, 64]                                               256      
    ConvBNReLU-96                                            [[1, 64, 128, 128]]                                                                               [1, 64, 64, 64]                                                0       
      Conv2D-209                                              [[1, 64, 64, 64]]                                                                               [1, 512, 32, 32]                                             294,912    
  SyncBatchNorm-209                                          [[1, 512, 32, 32]]                                                                               [1, 512, 32, 32]                                              2,048     
      ConvBN-113                                              [[1, 64, 64, 64]]                                                                               [1, 512, 32, 32]                                                0       
      Conv2D-210                                            [[1, 128, 128, 128]]                                                                              [1, 128, 64, 64]                                             147,456    
  SyncBatchNorm-210                                          [[1, 128, 64, 64]]                                                                               [1, 128, 64, 64]                                               512      
    ConvBNReLU-97                                           [[1, 128, 128, 128]]                                                                              [1, 128, 64, 64]                                                0       
      Conv2D-211                                             [[1, 128, 64, 64]]                                                                               [1, 512, 32, 32]                                             589,824    
  SyncBatchNorm-211                                          [[1, 512, 32, 32]]                                                                               [1, 512, 32, 32]                                              2,048     
      ConvBN-114                                             [[1, 128, 64, 64]]                                                                               [1, 512, 32, 32]                                                0       
      Conv2D-212                                             [[1, 256, 64, 64]]                                                                               [1, 512, 32, 32]                                            1,179,648   
  SyncBatchNorm-212                                          [[1, 512, 32, 32]]                                                                               [1, 512, 32, 32]                                              2,048     
      ConvBN-115                                             [[1, 256, 64, 64]]                                                                               [1, 512, 32, 32]                                                0       
     FuseLayers-6               [[[1, 64, 256, 256], [1, 128, 128, 128], [1, 256, 64, 64], [1, 512, 32, 32]]]                    [[1, 64, 256, 256], [1, 128, 128, 128], [1, 256, 64, 64], [1, 512, 32, 32]]                  0       
HighResolutionModule-6          [[[1, 64, 256, 256], [1, 128, 128, 128], [1, 256, 64, 64], [1, 512, 32, 32]]]                    [[1, 64, 256, 256], [1, 128, 128, 128], [1, 256, 64, 64], [1, 512, 32, 32]]                  0       
      Conv2D-213                                             [[1, 64, 256, 256]]                                                                              [1, 64, 256, 256]                                            36,864     
  SyncBatchNorm-213                                          [[1, 64, 256, 256]]                                                                              [1, 64, 256, 256]                                              256      
    ConvBNReLU-98                                            [[1, 64, 256, 256]]                                                                              [1, 64, 256, 256]                                               0       
      Conv2D-214                                             [[1, 64, 256, 256]]                                                                              [1, 64, 256, 256]                                            36,864     
  SyncBatchNorm-214                                          [[1, 64, 256, 256]]                                                                              [1, 64, 256, 256]                                              256      
      ConvBN-116                                             [[1, 64, 256, 256]]                                                                              [1, 64, 256, 256]                                               0       
    BasicBlock-73                                            [[1, 64, 256, 256]]                                                                              [1, 64, 256, 256]                                               0       
      Conv2D-215                                             [[1, 64, 256, 256]]                                                                              [1, 64, 256, 256]                                            36,864     
  SyncBatchNorm-215                                          [[1, 64, 256, 256]]                                                                              [1, 64, 256, 256]                                              256      
    ConvBNReLU-99                                            [[1, 64, 256, 256]]                                                                              [1, 64, 256, 256]                                               0       
      Conv2D-216                                             [[1, 64, 256, 256]]                                                                              [1, 64, 256, 256]                                            36,864     
  SyncBatchNorm-216                                          [[1, 64, 256, 256]]                                                                              [1, 64, 256, 256]                                              256      
      ConvBN-117                                             [[1, 64, 256, 256]]                                                                              [1, 64, 256, 256]                                               0       
    BasicBlock-74                                            [[1, 64, 256, 256]]                                                                              [1, 64, 256, 256]                                               0       
      Conv2D-217                                             [[1, 64, 256, 256]]                                                                              [1, 64, 256, 256]                                            36,864     
  SyncBatchNorm-217                                          [[1, 64, 256, 256]]                                                                              [1, 64, 256, 256]                                              256      
    ConvBNReLU-100                                           [[1, 64, 256, 256]]                                                                              [1, 64, 256, 256]                                               0       
      Conv2D-218                                             [[1, 64, 256, 256]]                                                                              [1, 64, 256, 256]                                            36,864     
  SyncBatchNorm-218                                          [[1, 64, 256, 256]]                                                                              [1, 64, 256, 256]                                              256      
      ConvBN-118                                             [[1, 64, 256, 256]]                                                                              [1, 64, 256, 256]                                               0       
    BasicBlock-75                                            [[1, 64, 256, 256]]                                                                              [1, 64, 256, 256]                                               0       
      Conv2D-219                                             [[1, 64, 256, 256]]                                                                              [1, 64, 256, 256]                                            36,864     
  SyncBatchNorm-219                                          [[1, 64, 256, 256]]                                                                              [1, 64, 256, 256]                                              256      
    ConvBNReLU-101                                           [[1, 64, 256, 256]]                                                                              [1, 64, 256, 256]                                               0       
      Conv2D-220                                             [[1, 64, 256, 256]]                                                                              [1, 64, 256, 256]                                            36,864     
  SyncBatchNorm-220                                          [[1, 64, 256, 256]]                                                                              [1, 64, 256, 256]                                              256      
      ConvBN-119                                             [[1, 64, 256, 256]]                                                                              [1, 64, 256, 256]                                               0       
    BasicBlock-76                                            [[1, 64, 256, 256]]                                                                              [1, 64, 256, 256]                                               0       
      Conv2D-221                                            [[1, 128, 128, 128]]                                                                             [1, 128, 128, 128]                                            147,456    
  SyncBatchNorm-221                                         [[1, 128, 128, 128]]                                                                             [1, 128, 128, 128]                                              512      
    ConvBNReLU-102                                          [[1, 128, 128, 128]]                                                                             [1, 128, 128, 128]                                               0       
      Conv2D-222                                            [[1, 128, 128, 128]]                                                                             [1, 128, 128, 128]                                            147,456    
  SyncBatchNorm-222                                         [[1, 128, 128, 128]]                                                                             [1, 128, 128, 128]                                              512      
      ConvBN-120                                            [[1, 128, 128, 128]]                                                                             [1, 128, 128, 128]                                               0       
    BasicBlock-77                                           [[1, 128, 128, 128]]                                                                             [1, 128, 128, 128]                                               0       
      Conv2D-223                                            [[1, 128, 128, 128]]                                                                             [1, 128, 128, 128]                                            147,456    
  SyncBatchNorm-223                                         [[1, 128, 128, 128]]                                                                             [1, 128, 128, 128]                                              512      
    ConvBNReLU-103                                          [[1, 128, 128, 128]]                                                                             [1, 128, 128, 128]                                               0       
      Conv2D-224                                            [[1, 128, 128, 128]]                                                                             [1, 128, 128, 128]                                            147,456    
  SyncBatchNorm-224                                         [[1, 128, 128, 128]]                                                                             [1, 128, 128, 128]                                              512      
      ConvBN-121                                            [[1, 128, 128, 128]]                                                                             [1, 128, 128, 128]                                               0       
    BasicBlock-78                                           [[1, 128, 128, 128]]                                                                             [1, 128, 128, 128]                                               0       
      Conv2D-225                                            [[1, 128, 128, 128]]                                                                             [1, 128, 128, 128]                                            147,456    
  SyncBatchNorm-225                                         [[1, 128, 128, 128]]                                                                             [1, 128, 128, 128]                                              512      
    ConvBNReLU-104                                          [[1, 128, 128, 128]]                                                                             [1, 128, 128, 128]                                               0       
      Conv2D-226                                            [[1, 128, 128, 128]]                                                                             [1, 128, 128, 128]                                            147,456    
  SyncBatchNorm-226                                         [[1, 128, 128, 128]]                                                                             [1, 128, 128, 128]                                              512      
      ConvBN-122                                            [[1, 128, 128, 128]]                                                                             [1, 128, 128, 128]                                               0       
    BasicBlock-79                                           [[1, 128, 128, 128]]                                                                             [1, 128, 128, 128]                                               0       
