----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
     Layer (type)                                                Input Shape                                                                                    Output Shape                                               Param #    
      ConvBN-11                                             [[1, 128, 128, 128]]                                                                             [1, 128, 128, 128]                                               0       
     BasicBlock-6                                           [[1, 128, 128, 128]]                                                                             [1, 128, 128, 128]                                               0       
      Conv2D-33                                             [[1, 128, 128, 128]]                                                                             [1, 128, 128, 128]                                            147,456    
   SyncBatchNorm-33                                         [[1, 128, 128, 128]]                                                                             [1, 128, 128, 128]                                              512      
    ConvBNReLU-22                                           [[1, 128, 128, 128]]                                                                             [1, 128, 128, 128]                                               0       
      Conv2D-34                                             [[1, 128, 128, 128]]                                                                             [1, 128, 128, 128]                                            147,456    
   SyncBatchNorm-34                                         [[1, 128, 128, 128]]                                                                             [1, 128, 128, 128]                                              512      
      ConvBN-12                                             [[1, 128, 128, 128]]                                                                             [1, 128, 128, 128]                                               0       
     BasicBlock-7                                           [[1, 128, 128, 128]]                                                                             [1, 128, 128, 128]                                               0       
      Conv2D-35                                             [[1, 128, 128, 128]]                                                                             [1, 128, 128, 128]                                            147,456    
   SyncBatchNorm-35                                         [[1, 128, 128, 128]]                                                                             [1, 128, 128, 128]                                              512      
    ConvBNReLU-23                                           [[1, 128, 128, 128]]                                                                             [1, 128, 128, 128]                                               0       
      Conv2D-36                                             [[1, 128, 128, 128]]                                                                             [1, 128, 128, 128]                                            147,456    
   SyncBatchNorm-36                                         [[1, 128, 128, 128]]                                                                             [1, 128, 128, 128]                                              512      
      ConvBN-13                                             [[1, 128, 128, 128]]                                                                             [1, 128, 128, 128]                                               0       
     BasicBlock-8                                           [[1, 128, 128, 128]]                                                                             [1, 128, 128, 128]                                               0       
      Branches-1                                  [[[1, 64, 256, 256], [1, 128, 128, 128]]]                                                        [[1, 64, 256, 256], [1, 128, 128, 128]]                                    0       
      Conv2D-37                                             [[1, 128, 128, 128]]                                                                              [1, 64, 128, 128]                                             8,192     
   SyncBatchNorm-37                                          [[1, 64, 128, 128]]                                                                              [1, 64, 128, 128]                                              256      
      ConvBN-14                                             [[1, 128, 128, 128]]                                                                              [1, 64, 128, 128]                                               0       
      Conv2D-38                                              [[1, 64, 256, 256]]                                                                             [1, 128, 128, 128]                                            73,728     
   SyncBatchNorm-38                                         [[1, 128, 128, 128]]                                                                             [1, 128, 128, 128]                                              512      
      ConvBN-15                                              [[1, 64, 256, 256]]                                                                             [1, 128, 128, 128]                                               0       
     FuseLayers-1                                 [[[1, 64, 256, 256], [1, 128, 128, 128]]]                                                        [[1, 64, 256, 256], [1, 128, 128, 128]]                                    0       
HighResolutionModule-1                            [[[1, 64, 256, 256], [1, 128, 128, 128]]]                                                        [[1, 64, 256, 256], [1, 128, 128, 128]]                                    0       
       Stage-1                                    [[[1, 64, 256, 256], [1, 128, 128, 128]]]                                                        [[1, 64, 256, 256], [1, 128, 128, 128]]                                    0       
      Conv2D-39                                             [[1, 128, 128, 128]]                                                                              [1, 256, 64, 64]                                             294,912    
   SyncBatchNorm-39                                          [[1, 256, 64, 64]]                                                                               [1, 256, 64, 64]                                              1,024     
    ConvBNReLU-24                                           [[1, 128, 128, 128]]                                                                              [1, 256, 64, 64]                                                0       
  TransitionLayer-2                               [[[1, 64, 256, 256], [1, 128, 128, 128]]]                                               [[1, 64, 256, 256], [1, 128, 128, 128], [1, 256, 64, 64]]                           0       
      Conv2D-40                                              [[1, 64, 256, 256]]                                                                              [1, 64, 256, 256]                                            36,864     
   SyncBatchNorm-40                                          [[1, 64, 256, 256]]                                                                              [1, 64, 256, 256]                                              256      
    ConvBNReLU-25                                            [[1, 64, 256, 256]]                                                                              [1, 64, 256, 256]                                               0       
      Conv2D-41                                              [[1, 64, 256, 256]]                                                                              [1, 64, 256, 256]                                            36,864     
   SyncBatchNorm-41                                          [[1, 64, 256, 256]]                                                                              [1, 64, 256, 256]                                              256      
      ConvBN-16                                              [[1, 64, 256, 256]]                                                                              [1, 64, 256, 256]                                               0       
     BasicBlock-9                                            [[1, 64, 256, 256]]                                                                              [1, 64, 256, 256]                                               0       
      Conv2D-42                                              [[1, 64, 256, 256]]                                                                              [1, 64, 256, 256]                                            36,864     
   SyncBatchNorm-42                                          [[1, 64, 256, 256]]                                                                              [1, 64, 256, 256]                                              256      
    ConvBNReLU-26                                            [[1, 64, 256, 256]]                                                                              [1, 64, 256, 256]                                               0       
      Conv2D-43                                              [[1, 64, 256, 256]]                                                                              [1, 64, 256, 256]                                            36,864     
   SyncBatchNorm-43                                          [[1, 64, 256, 256]]                                                                              [1, 64, 256, 256]                                              256      
      ConvBN-17                                              [[1, 64, 256, 256]]                                                                              [1, 64, 256, 256]                                               0       
    BasicBlock-10                                            [[1, 64, 256, 256]]                                                                              [1, 64, 256, 256]                                               0       
      Conv2D-44                                              [[1, 64, 256, 256]]                                                                              [1, 64, 256, 256]                                            36,864     
   SyncBatchNorm-44                                          [[1, 64, 256, 256]]                                                                              [1, 64, 256, 256]                                              256      
    ConvBNReLU-27                                            [[1, 64, 256, 256]]                                                                              [1, 64, 256, 256]                                               0       
      Conv2D-45                                              [[1, 64, 256, 256]]                                                                              [1, 64, 256, 256]                                            36,864     
   SyncBatchNorm-45                                          [[1, 64, 256, 256]]                                                                              [1, 64, 256, 256]                                              256      
      ConvBN-18                                              [[1, 64, 256, 256]]                                                                              [1, 64, 256, 256]                                               0       
    BasicBlock-11                                            [[1, 64, 256, 256]]                                                                              [1, 64, 256, 256]                                               0       
      Conv2D-46                                              [[1, 64, 256, 256]]                                                                              [1, 64, 256, 256]                                            36,864     
   SyncBatchNorm-46                                          [[1, 64, 256, 256]]                                                                              [1, 64, 256, 256]                                              256      
    ConvBNReLU-28                                            [[1, 64, 256, 256]]                                                                              [1, 64, 256, 256]                                               0       
      Conv2D-47                                              [[1, 64, 256, 256]]                                                                              [1, 64, 256, 256]                                            36,864     
   SyncBatchNorm-47                                          [[1, 64, 256, 256]]                                                                              [1, 64, 256, 256]                                              256      
      ConvBN-19                                              [[1, 64, 256, 256]]                                                                              [1, 64, 256, 256]                                               0       
    BasicBlock-12                                            [[1, 64, 256, 256]]                                                                              [1, 64, 256, 256]                                               0       
      Conv2D-48                                             [[1, 128, 128, 128]]                                                                             [1, 128, 128, 128]                                            147,456    
   SyncBatchNorm-48                                         [[1, 128, 128, 128]]                                                                             [1, 128, 128, 128]                                              512      
    ConvBNReLU-29                                           [[1, 128, 128, 128]]                                                                             [1, 128, 128, 128]                                               0       
      Conv2D-49                                             [[1, 128, 128, 128]]                                                                             [1, 128, 128, 128]                                            147,456    
   SyncBatchNorm-49                                         [[1, 128, 128, 128]]                                                                             [1, 128, 128, 128]                                              512      
      ConvBN-20                                             [[1, 128, 128, 128]]                                                                             [1, 128, 128, 128]                                               0       
    BasicBlock-13                                           [[1, 128, 128, 128]]                                                                             [1, 128, 128, 128]                                               0       
      Conv2D-50                                             [[1, 128, 128, 128]]                                                                             [1, 128, 128, 128]                                            147,456    
   SyncBatchNorm-50                                         [[1, 128, 128, 128]]                                                                             [1, 128, 128, 128]                                              512      
    ConvBNReLU-30                                           [[1, 128, 128, 128]]                                                                             [1, 128, 128, 128]                                               0       
      Conv2D-51                                             [[1, 128, 128, 128]]                                                                             [1, 128, 128, 128]                                            147,456    
   SyncBatchNorm-51                                         [[1, 128, 128, 128]]                                                                             [1, 128, 128, 128]                                              512      
      ConvBN-21                                             [[1, 128, 128, 128]]                                                                             [1, 128, 128, 128]                                               0       
    BasicBlock-14                                           [[1, 128, 128, 128]]                                                                             [1, 128, 128, 128]                                               0       
      Conv2D-52                                             [[1, 128, 128, 128]]                                                                             [1, 128, 128, 128]                                            147,456    
   SyncBatchNorm-52                                         [[1, 128, 128, 128]]                                                                             [1, 128, 128, 128]                                              512      
    ConvBNReLU-31                                           [[1, 128, 128, 128]]                                                                             [1, 128, 128, 128]                                               0       
      Conv2D-53                                             [[1, 128, 128, 128]]                                                                             [1, 128, 128, 128]                                            147,456    
   SyncBatchNorm-53                                         [[1, 128, 128, 128]]                                                                             [1, 128, 128, 128]                                              512      
      ConvBN-22                                             [[1, 128, 128, 128]]                                                                             [1, 128, 128, 128]                                               0       
    BasicBlock-15                                           [[1, 128, 128, 128]]                                                                             [1, 128, 128, 128]                                               0       
      Conv2D-54                                             [[1, 128, 128, 128]]                                                                             [1, 128, 128, 128]                                            147,456    
   SyncBatchNorm-54                                         [[1, 128, 128, 128]]                                                                             [1, 128, 128, 128]                                              512      
    ConvBNReLU-32                                           [[1, 128, 128, 128]]                                                                             [1, 128, 128, 128]                                               0       
      Conv2D-55                                             [[1, 128, 128, 128]]                                                                             [1, 128, 128, 128]                                            147,456    
   SyncBatchNorm-55                                         [[1, 128, 128, 128]]                                                                             [1, 128, 128, 128]                                              512      
      ConvBN-23                                             [[1, 128, 128, 128]]                                                                             [1, 128, 128, 128]                                               0       
    BasicBlock-16                                           [[1, 128, 128, 128]]                                                                             [1, 128, 128, 128]                                               0       
      Conv2D-56                                              [[1, 256, 64, 64]]                                                                               [1, 256, 64, 64]                                             589,824    
   SyncBatchNorm-56                                          [[1, 256, 64, 64]]                                                                               [1, 256, 64, 64]                                              1,024     
    ConvBNReLU-33                                            [[1, 256, 64, 64]]                                                                               [1, 256, 64, 64]                                                0       
      Conv2D-57                                              [[1, 256, 64, 64]]                                                                               [1, 256, 64, 64]                                             589,824    
   SyncBatchNorm-57                                          [[1, 256, 64, 64]]                                                                               [1, 256, 64, 64]                                              1,024     
      ConvBN-24                                              [[1, 256, 64, 64]]                                                                               [1, 256, 64, 64]                                                0       
    BasicBlock-17                                            [[1, 256, 64, 64]]                                                                               [1, 256, 64, 64]                                                0       
      Conv2D-58                                              [[1, 256, 64, 64]]                                                                               [1, 256, 64, 64]                                             589,824    
   SyncBatchNorm-58                                          [[1, 256, 64, 64]]                                                                               [1, 256, 64, 64]                                              1,024     
    ConvBNReLU-34                                            [[1, 256, 64, 64]]                                                                               [1, 256, 64, 64]                                                0       
